	NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note	Huang_STEDT_English	English_by_concepticon	Huang_Chinese
627	Chen-2013-888-628	傻		1518.0	STUPID	2.0			stupid	蠢
628	Chen-2013-888-629	勤快	industrious /	2077.0	DILIGENT	2.0		industrious / hardworking		
629	Chen-2013-888-630	懒	lazy	1564.0	LAZY	2.0		lazy	lazy	懒
630	Chen-2013-888-631	凶					add fierce			
631	Chen-2013-888-632	响	loud	377.0	LOUD			loud	loud	响
632	Chen-2013-888-633	熬	decoct (herbal					decoct (porridge / conjee)||decoct (herbal medicine)		
633	Chen-2013-888-634	拔		2325.0	PULL OUT	2.0				
634	Chen-2013-888-635	搻		1749.0	TAKE				take / hold / get	拿
635	Chen-2013-888-636	搬		765.0	MOVE	2.0			move (a	搬(~凳子)
636	Chen-2013-888-637	帮助	help	1897.0	HELP	2.0		help	help	帮助
637	Chen-2013-888-638	捆绑		1917.0	TIE				bind / tie	绑
638	Chen-2013-888-639	剥		275.0	PEEL	2.0				
639	Chen-2013-888-640	抱		928.0	EMBRACE	2.0			embrace / hug	拥抱
640	Chen-2013-888-641	背	back	465.0	CARRY ON BACK	2.0		back		
641	Chen-2013-888-642	比								
642	Chen-2013-888-643	编（辫子）		1043.0	BRAID	4.0			braid / plait (female's) (note:+female)	辫子 ((女人的)~)
643	Chen-2013-888-644	编（篮子）		1043.0	BRAID	4.0			braid / plait (female's) (note:+female)	辫子 ((女人的)~)
644	Chen-2013-888-645	变		1264.0	CHANGE	2.0			change	换
645	Chen-2013-888-646	病	ill, to	1847.0	SICK	2.0		ill, to be		
646	Chen-2013-888-647	补		2243.0	REPAIR	2.0				
647	Chen-2013-888-648	猜		1932.0	GUESS	2.0			guess (a	猜(~谜)
648	Chen-2013-888-649	踩	step on /	2065.0	STEP (VERB)	2.0		step on / tread	step on / trample / stamp	踏
649	Chen-2013-888-650	藏		2486.0	HIDE	2.0				
650	Chen-2013-888-651	插		3071.0	INSERT	2.0				
651	Chen-2013-888-652	折		1470.0	FOLD	4.0				
652	Chen-2013-888-653	缠		1113.0	WRAP				wrap	包(~药)
653	Chen-2013-888-654	唱		1261.0	SING	2.0			sing (own songs)	唱 (~(本族歌曲))
654	Chen-2013-888-655	炒	stir-fry	2162.0	STIR FRY	2.0		stir-fry||stir-fry (grain)	stir-fry	炒
655	Chen-2013-888-656	沉	sink	1088.0	SINK (DESCEND)			sink	cave in / sink	下陷
656	Chen-2013-888-657	称		1098.0	WEIGH	2.0			weigh	称(~粮食)
657	Chen-2013-888-658	成		1990.0	BECOME					
658	Chen-2013-888-659	吃	eat	1336.0	EAT	2.0		eat (meat, corn, etc.)||eat (rice, etc.)||eat	eat	吃
659	Chen-2013-888-660	舂	pestle / pound	225.0	PESTLE			pestle / pound	grind / pestle (medicine)	研(~药)
660	Chen-2013-888-661	出		1107.0	GO OUT	2.0				
661	Chen-2013-888-662	锄（革）		1418.0	DIG				dig / scoop out	挖
662	Chen-2013-888-663	穿（衣）		814.0	DRESS UP	4.0				
663	Chen-2013-888-664	穿（鞋）		158.0	PUT ON	4.0			put on (another layer of clothing)	套（～衣服）
664	Chen-2013-888-665	吹（喇叭）		176.0	BLOW (WITH MOUTH)	4.0			blow away (a speck of	吹(~灰)
665	Chen-2013-888-666	搓		430.0	TWIST	2.0			twist (a towel)	拧(~毛巾)
666	Chen-2013-888-667	答应	promise /	1675.0	PROMISE			promise / consent	promise /	答应
667	Chen-2013-888-668	打鸣		2074.0	CROW (VERB)				crow (of hens)	叫(母鸡~)
668	Chen-2013-888-669	打（人）		1433.0	HIT	4.0			hit (a	打(~人)
669	Chen-2013-888-670	打（枪）		3180.0	SHOOT (WITH SLINGSHOT)	4.0				
670	Chen-2013-888-671	戴（帽）		976.0	WEAR	2.0			wear / bear	佩带
671	Chen-2013-888-672	戴（手镯）		976.0	WEAR	4.0			wear / bear	佩带
672	Chen-2013-888-673	倒（下）		1280.0	FALL				fall down (a wall) / topple	倒(墙~)
673	Chen-2013-888-674	到		1387.0	ARRIVE	2.0			arrive	到达
674	Chen-2013-888-675	倒（水）		1487.0	POUR				pour or throw out (water)	倒掉(~水)
675	Chen-2013-888-676	得到	get / acquire	694.0	GET			get / acquire	receive	收到
676	Chen-2013-888-677	等		1590.0	WAIT (FOR)	2.0			wait	等待
677	Chen-2013-888-678	掉		750.0	DROP	2.0			drop	掉(~下)
678	Chen-2013-888-679	吊	hang	2884.0	HANG			hang	hang	吊
679	Chen-2013-888-680	跌倒	fall over / down	1280.0	FALL	2.0		fall over / down	fall down (a wall) / topple	倒(墙~)
680	Chen-2013-888-681	动		2874.0	MOVE (ONESELF)				move	搬(~家)
681	Chen-2013-888-682	堵塞	block up / plug					block up / plug		
682	Chen-2013-888-683	（线）断		460.0	BREAK (OF ROPE)	4.0			snap (a thread)	弄断(~线)
683	Chen-2013-888-684	（扁担）断		2558.0	BREAK (CLEAVE)	4.0			snap / break (a stick)	弄断(~棍子)
684	Chen-2013-888-685	躲避								
685	Chen-2013-888-686	剁		2149.0	CHOP (INTO PIECES)	2.0				
686	Chen-2013-888-687	翻		1445.0	TURN (SOMETHING) 					
687	Chen-2013-888-688	发烧	fever, have	1534.0	FEVER			fever, have	fever, have	发烧
688	Chen-2013-888-689	纺		121.0	SPIN	4.0			spin (into yarn)	纺(~纱)
689	Chen-2013-888-690	放（牛）		998.0	PUT	4.0				
690	Chen-2013-888-691	飞	fly	1441.0	FLY (MOVE THROUGH AIR)	2.0		fly	fly	飞
691	Chen-2013-888-692	分		1359.0	SEPARATE	2.0			separate (cause to)	分开(使~)
692	Chen-2013-888-693	缝	sew (up)	1457.0	SEW	2.0		sew (up)	sew (up)	缝
693	Chen-2013-888-694	孵	hatch / incubate	2075.0	BROOD (VERB)	2.0		hatch / incubate	hatch / incubate	孵
694	Chen-2013-888-695	扶								
695	Chen-2013-888-696	浮		1574.0	FLOAT	2.0			float	漂浮
696	Chen-2013-888-697	（应）该								
697	Chen-2013-888-698	改		2856.0	CHANGE (SOMETHING)	2.0			alter	改变
698	Chen-2013-888-699	盖（被）								
699	Chen-2013-888-700	盖（锅）		761.0	COVER				cover / hide from view	遮蔽
700	Chen-2013-888-701	赶走			DISPEL				drive out / expel	驱逐
701	Chen-2013-888-702	敢	dare	1779.0	DARE	2.0		dare	dare	敢
702	Chen-2013-888-703	告诉	tell	1711.0	TELL	2.0		tell	tell (a story)	讲(~故事)
703	Chen-2013-888-704	割（草）		1432.0	CUT	4.0			cut / rip open	剖
704	Chen-2013-888-705	给	give	1447.0	GIVE	2.0		give (hand over)||give||give (as a gift)	give	给
705	Chen-2013-888-706	耕	plough / till	1486.0	PLANT (SOMETHING)			plough / till	plant / raise (wheat) (scatter)	种(~麦子) (点~)
706	Chen-2013-888-707	（猪）拱（土）								
707	Chen-2013-888-708	刮		175.0	BLOW (OF WIND)	2.0			blow (whirlwind) (note:+whirlwind)	刮(~风) (~(旋风))
708	Chen-2013-888-709	挂		357.0	HANG UP	2.0			dry (clothes) in the air	晾(~衣)
709	Chen-2013-888-710	关（门）		1046.0	SHUT				close (the door)	关(~门)
710	Chen-2013-888-711	滚		827.0	ROLL	4.0			roll (transitive) (note:tran)	滚 ((及物动词))
711	Chen-2013-888-712	过（桥）		1367.0	CROSS	4.0			cross / pass	越过
712	Chen-2013-888-713	害羞	shy, be / bashful	487.0	SHY	2.0		shy, be / bashful	shy, be / bashful	害羞
713	Chen-2013-888-714	喝	drink	1401.0	DRINK	2.0		drink	drink	喝
714	Chen-2013-888-715	哼					add hum			
715	Chen-2013-888-716	划		234.0	PADDLE				paddle / row	划(~船)
716	Chen-2013-888-717	化								
717	Chen-2013-888-718	怀孕		1123.0	PREGNANT				pregnant, be (person) (note:+person)	怀孕 ((指人))
718	Chen-2013-888-719	还帐								
719	Chen-2013-888-720	换	change	2509.0	EXCHANGE	2.0		change||take (a breath)	exchange	交换
720	Chen-2013-888-721	回来		581.0	COME BACK				return (come back) (note:+go)	回 (~去)
721	Chen-2013-888-722	会（写）		2238.0	KNOW OR BE ABLE	4.0			know (to write)	会(~写)
722	Chen-2013-888-723	挤		1414.0	SQUEEZE	2.0				
723	Chen-2013-888-724	记得	remember	707.0	REMEMBER	2.0		remember	recall / remember	想起
724	Chen-2013-888-725	夹								
725	Chen-2013-888-726	捡	pick up	371.0	PICK UP			pick up	pick up	捡
726	Chen-2013-888-727	剪	scissor (wool, hair)	2155.0	CUT (WITH SCISSORS)	2.0		scissor (for cutting cloth)||scissor||scissor (paper)||scissor (wool, hair)	scissor (wool, hair)	剪
727	Chen-2013-888-728	浇		3078.0	IRRIGATE	4.0			water / sprinkle / irrigate	浇(~水)
728	Chen-2013-888-729	吠		1204.0	BARK	2.0			bark	叫(狗~)
729	Chen-2013-888-730	结（果）		1917.0	TIE	4.0			bind / tie	绑
730	Chen-2013-888-731	连接	connect / join	2862.0	CONNECT	2.0		connect / join	connect / join	连接
731	Chen-2013-888-732	解开	untie / undo	352.0	UNTIE			untie / undo	untie / undo	解开
732	Chen-2013-888-733	借（钱）		1823.0	BORROW	4.0			borrow (tools)	借(~工具)
733	Chen-2013-888-734	进（屋）		749.0	ENTER	4.0			enter (a house)	进(~屋)
734	Chen-2013-888-735	救	rescue / save	2008.0	RESCUE	2.0		rescue / save	rescue / save	救
735	Chen-2013-888-736	锯	saw				add saw (something)	saw		
736	Chen-2013-888-737	开（门）		1156.0	OPEN	2.0			open (a door)	开(~门)
737	Chen-2013-888-738	（水）开		792.0	BOIL (OF LIQUID)	4.0			boiling, be (water)	开(水~了)
738	Chen-2013-888-739	（花）开		3287.0	BLOOM	4.0				
739	Chen-2013-888-740	砍（树）		1432.0	CUT (WITH AXE)	4.0				
740	Chen-2013-888-741	砍（骨头）		155.0	CHOP	4.0			chop (firewood)	劈(~柴)
741	Chen-2013-888-742	看	watch	1819.0	LOOK	2.0		watch		
742	Chen-2013-888-743	看见	see	1409.0	SEE	2.0		see	see (a doctor)	看病(病人~)
743	Chen-2013-888-744	扛	shoulder	413.0	CARRY ON SHOULDER	2.0		shoulder		
744	Chen-2013-888-745	烤（火）		1962.0	ROAST (SOMETHING)	4.0				
745	Chen-2013-888-746	咳嗽	cough	879.0	COUGH	2.0		cough	cough	咳嗽
746	Chen-2013-888-747	啃	gnaw / nibble	2706.0	GNAW	2.0		gnaw / nibble	gnaw / nibble	啃
747	Chen-2013-888-748	哭	cry	1839.0	CRY	2.0		cry		
748	Chen-2013-888-749	拉屎	empty the bowels	676.0	SHIT (DEFECATE)			empty the bowels		
749	Chen-2013-888-750	来		1446.0	COME	2.0			come (imperative)	来 ((将来时))
750	Chen-2013-888-751	烂		1728.0	ROTTEN	2.0				
751	Chen-2013-888-752	破裂		680.0	BREAK (DESTROY OR GET DESTROYED)				spout / burst	迸(~出)
752	Chen-2013-888-753	流		2003.0	FLOW	2.0			flow (of water)	流(水~)
753	Chen-2013-888-754	留		2003.0	FLOW	2.0			flow (of water)	流(水~)
754	Chen-2013-888-755	漏		2253.0	DRIP (EMIT LIQUID)	4.0			leak (iron pot)	漏(~水) ((石锅)~)
755	Chen-2013-888-756	落		1280.0	FALL	2.0			fall down (a wall) / topple	倒(墙~)
756	Chen-2013-888-757	骂	scold	299.0	SCOLD	4.0		scold	scold	骂
757	Chen-2013-888-758	埋	bury	1719.0	BURY	2.0		bury	bury	埋
758	Chen-2013-888-759	买	buy	1869.0	BUY	2.0		buy	buy	买
759	Chen-2013-888-760	卖	sell	1571.0	SELL	2.0		sell	sell	卖
760	Chen-2013-888-761	没有								
761	Chen-2013-888-762	（火）灭		127.0	EXTINGUISH	4.0				
762	Chen-2013-888-763	摸	stroke / touch	1892.0	TOUCH			stroke / touch	stroke / touch	摸
763	Chen-2013-888-764	磨（刀）		251.0	SHARPEN (SOMETHING)	4.0				
764	Chen-2013-888-765	磨（面）		1033.0	GRIND	2.0			grind (flour)	磨(~面)
765	Chen-2013-888-766	拿	take / hold / get	2104.0	HOLD OR TAKE	2.0		take / hold / get		
766	Chen-2013-888-767	念								
767	Chen-2013-888-768	呕吐	throw up / vomit	1278.0	VOMIT	2.0		throw up / vomit	throw up / vomit	呕吐
768	Chen-2013-888-769	爬行		96.0	CRAWL				crawl (of people)	爬(人~)
769	Chen-2013-888-770	爬（树）		1102.0	CLIMB	4.0			climb (a mountain)	爬(~山)
770	Chen-2013-888-771	怕		1419.0	FEAR (BE AFRAID)	2.0			afraid, be	害怕
771	Chen-2013-888-772	拍		2133.0	STRIKE OR BEAT	2.0				
772	Chen-2013-888-773	跑	run	1519.0	RUN	2.0		run	run	跑
773	Chen-2013-888-774	泡								
774	Chen-2013-888-775	赔								
775	Chen-2013-888-776	喷								
776	Chen-2013-888-777	劈		1437.0	SPLIT	4.0				
777	Chen-2013-888-778	（衣）破		680.0	BREAK (DESTROY OR GET DESTROYED)	4.0			spout / burst	迸(~出)
778	Chen-2013-888-779	骑	ride (a horse)	367.0	RIDE	2.0		ride (a horse)	ride (a horse)	骑
779	Chen-2013-888-780	起来	rise / stand up	570.0	STAND UP			get up (out of bed)||rise / stand up	rise / stand up	起来
780	Chen-2013-888-781	牵		43.0	LEAD (GUIDE)	4.0			"lead (the way) / guide (lit. 'lead head') (note:""pioneer"")"	"带(~路) (""带头"")"
781	Chen-2013-888-782	欠		369.0	OWE	2.0			owe (money)	欠(~钱)
782	Chen-2013-888-783	抢	rob / loot	2073.0	ROB (VERB)	2.0		rob / loot	rob / loot	抢
783	Chen-2013-888-784	敲	knock / strike	2396.0	KNOCK			knock / strike	knock / strike	敲
784	Chen-2013-888-785	请								
785	Chen-2013-888-786	去	go / leave	695.0	GO	2.0		go / leave (past)||go / leave||go / leave (future)	go / leave	去
786	Chen-2013-888-787	缺								
787	Chen-2013-888-788	燃		2012.0	BURN				catch (fire) / be (on fire) (a house)	着(~火) ((房子)~火)
788	Chen-2013-888-789	认识		2248.0	KNOW (SOMEBODY)	2.0				
789	Chen-2013-888-790	融化		2334.0	MELT	2.0				
790	Chen-2013-888-791	撒尿		592.0	PISS				piss / pee	撒(~尿)
791	Chen-2013-888-792	扫	sweep	230.0	SWEEP	4.0		sweep	sweep	扫
792	Chen-2013-888-793	杀（人）		1417.0	KILL	4.0			kill (a person)	杀 (~(人))
793	Chen-2013-888-794	筛		86.0	SIEVE	2.0			sieve / sift	筛(~米)
794	Chen-2013-888-795	晒		2015.0	MAKE DRY	2.0			dry (clothes) in the sun	晒(~衣服)
795	Chen-2013-888-796	上（楼）		705.0	GO UP (ASCEND)	4.0			rise / go up	升起
796	Chen-2013-888-797	烧（山）		141.0	BURN (SOMETHING)	4.0				
797	Chen-2013-888-798	射		1172.0	SHOOT	2.0			shoot (an arrow)	射(~箭)
798	Chen-2013-888-799	生（小孩）		1195.0	GIVE BIRTH	4.0			birth, give to	生(~孩子)
799	Chen-2013-888-800	是		1268.0	YES	2.0				
800	Chen-2013-888-801	不是		1269.0	NO	2.0				
801	Chen-2013-888-802	收（玉米）		694.0	GET	4.0			receive	收到
802	Chen-2013-888-803	守（庄稼）								
803	Chen-2013-888-804	梳	comb	2070.0	COMB (VERB)	4.0		comb	comb	梳
804	Chen-2013-888-805	输		1660.0	LOSE	2.0			lose (a game) (gambling)	输 ((赌~))
805	Chen-2013-888-806	数（钱）		1420.0	COUNT	4.0			count (numbers)	数(~数目)
806	Chen-2013-888-807	拴（牛）		2891.0	TIE UP (TETHER)					
807	Chen-2013-888-808	睡觉		1585.0	SLEEP	2.0			sleep	睡
808	Chen-2013-888-809	说	speak	1458.0	SAY	2.0		speak		
809	Chen-2013-888-810	送（客）		1447.0	GIVE	4.0			give	给
810	Chen-2013-888-811	赠送								
811	Chen-2013-888-812	缩		54.0	SHRINK					
812	Chen-2013-888-813	抬	lift up / carry	501.0	LIFT	2.0		lift up / carry	lift (the lid)	揭(~盖子)
813	Chen-2013-888-814	逃跑	escape / run away	2142.0	RUN AWAY	2.0		escape / run away	escape / run away	逃跑
814	Chen-2013-888-815	乞讨		1828.0	ASK (REQUEST)				beg (for food)	讨(~饭)
815	Chen-2013-888-816	疼		1129.0	PAINFUL	4.0				
816	Chen-2013-888-817	提		501.0	LIFT	2.0			lift (the lid)	揭(~盖子)
817	Chen-2013-888-818	填		2006.0	FILL				fill up (a hollow)	填(~坑)
818	Chen-2013-888-819	挑（水）		413.0	CARRY ON SHOULDER	4.0				
819	Chen-2013-888-820	跳		1829.0	JUMP	2.0			jump	跳(~远)
820	Chen-2013-888-821	听	listen	1608.0	LISTEN	2.0		listen	listen	听
821	Chen-2013-888-822	听见	hear	1408.0	HEAR	2.0		hear	hear	听见
822	Chen-2013-888-823	偷	steal	713.0	STEAL	2.0		steal	steal	偷
823	Chen-2013-888-824	吐（痰）		1440.0	SPIT	2.0			spit	吐(~痰)
824	Chen-2013-888-825	推		1452.0	PUSH	2.0			push / shove (people, cars)	推 (~(车,人))
825	Chen-2013-888-826	退		421.0	RETREAT	2.0			back up / retreat	退(后~)
826	Chen-2013-888-827	拖		1455.0	PULL	2.0			pull / lead (a cow) along	牵(~牛)
827	Chen-2013-888-828	脱（衣）		1755.0	UNDRESS	4.0			take off (clothes)	脱(~衣)
828	Chen-2013-888-829	脱（皮）		1755.0	UNDRESS	4.0			take off (clothes)	脱(~衣)
829	Chen-2013-888-830	挖	dig / scoop out	1418.0	DIG	2.0		dig / scoop out	dig / scoop out	挖
830	Chen-2013-888-831	忘记	forget	1523.0	FORGET	2.0		forget	forget	忘记
831	Chen-2013-888-832	喂（猪）		739.0	FEED	4.0				
832	Chen-2013-888-833	嗅		1586.0	SMELL (PERCEIVE)	2.0			smell	闻(臭)
833	Chen-2013-888-834	问	ask / question	1309.0	ASK (INQUIRE)	2.0		ask / question	ask / question	问
834	Chen-2013-888-835	吸气		2705.0	INHALE				inhale	吸(~气)
835	Chen-2013-888-836	洗（碗）		1453.0	WASH	4.0			wash (clothes)	洗(~衣)
836	Chen-2013-888-837	洗（衣）		1453.0	WASH	4.0			wash (clothes)	洗(~衣)
837	Chen-2013-888-838	下（楼）		374.0	ONE TIME	4.0				
838	Chen-2013-888-839	下（雨）		1253.0	RAIN (RAINING)	4.0				
839	Chen-2013-888-840	下（小猪）		1195.0	GIVE BIRTH	4.0	add give birth (animal)		birth, give to	生(~孩子)
840	Chen-2013-888-841	想	think	2271.0	THINK	2.0		think		
841	Chen-2013-888-842	削	pare / peel with a knife	275.0	PEEL			pare / peel with a knife		
842	Chen-2013-888-843	笑	laugh / smile	1355.0	LAUGH	2.0		laugh / smile	laugh / smile	笑
843	Chen-2013-888-844	醒		1602.0	WAKE UP	2.0				
844	Chen-2013-888-845	选		1750.0	CHOOSE				choose / pick	挑选
845	Chen-2013-888-846	寻找	display structure	1468.0	LOOK FOR	2.0		find / look for||display structure		
846	Chen-2013-888-847	压	press / push down	1913.0	PRESS	2.0		press / push down	press / push down	压
847	Chen-2013-888-848	痒	itch / tickle	148.0	ITCH	2.0		itch / tickle		
848	Chen-2013-888-849	摇		1909.0	SHAKE				shake / quake	震动
849	Chen-2013-888-850	咬		1403.0	BITE	2.0			bite (of snakes) (note: (wrong number))	咬 (~(牙))
850	Chen-2013-888-851	要	want / need	1784.0	WANT	2.0		want / need	like (to eat	爱(~吃)
851	Chen-2013-888-852	移动		765.0	MOVE				move (a	搬(~凳子)
852	Chen-2013-888-853	游		1439.0	SWIM	2.0			swim	游泳
853	Chen-2013-888-854	有		2152.0	THERE IS OR THERE ARE	2.0			there is (water in the bowl)	有(碗里~水)
854	Chen-2013-888-855	没有		2329.0	LACK (NOT HAVE)					
855	Chen-2013-888-856	栽		1486.0	PLANT (SOMETHING)				plant / raise (wheat) (scatter)	种(~麦子) (点~)
856	Chen-2013-888-857	炸		991.0	FRY	4.0			fry (cold rice)	热(~饭) ((炒)~)
857	Chen-2013-888-858	站	stand	1442.0	STAND	2.0		stand	stand	站
858	Chen-2013-888-859	长（大）		552.0	GROW UP	4.0				
859	Chen-2013-888-860	胀		1573.0	SWELL				swell (of tissue)	肿
860	Chen-2013-888-861	找		1468.0	LOOK FOR	2.0				
861	Chen-2013-888-862	照								
862	Chen-2013-888-863	折断		2558.0	BREAK (CLEAVE)				snap / break (a stick)	弄断(~棍子)
863	Chen-2013-888-864	争								
864	Chen-2013-888-865	蒸	steam	2068.0	BRAISE (VERB)	2.0		steam		
865	Chen-2013-888-866	知道		1410.0	KNOW (SOMETHING)	2.0		know		知道
866	Chen-2013-888-867	织（布）		133.0	WEAVE	2.0			weave (a	编(~篮子)
867	Chen-2013-888-868	指	point at / to / out				add point to 	point at / to / out		
868	Chen-2013-888-869	肿	swell (of tissue)	1573.0	SWELL	2.0		swell (of tissue)	swell (of tissue)	肿
869	Chen-2013-888-870	种（菜）		653.0	PLANT (VEGETATION)	4.0				
870	Chen-2013-888-871	煮		1100.0	COOK (SOMETHING)	4.0				
871	Chen-2013-888-872	住		363.0	DWELL (LIVE, RESIDE)	2.0				
872	Chen-2013-888-873	抓		1436.0	SCRATCH	2.0			scratch (an itch)	挠(~痒)
873	Chen-2013-888-874	转（身）		1588.0	TURN	4.0			turn (cause to)	转动(使~)
874	Chen-2013-888-875	转动		121.0	SPIN				spin (into yarn)	纺(~纱)
875	Chen-2013-888-876	装		1679.0	LOAD	4.0				
876	Chen-2013-888-877	追	chase after	1435.0	HUNT	2.0		chase after	hunt	打猎
877	Chen-2013-888-878	捉	catch / capture	702.0	CATCH	2.0		catch / capture	catch / capture	捉
878	Chen-2013-888-879	啄					add peck			
879	Chen-2013-888-880	走	walk	1443.0	WALK	2.0		walk	walk	走
880	Chen-2013-888-881	醉	drunk, be	1463.0	DRUNK	2.0		drunk, get||drunk, be	drunk, be	醉
881	Chen-2013-888-882	坐	sit down	1416.0	SIT	2.0		sit down		
882	Chen-2013-888-883	做	do / make	813.0	DO	4.0		do / make (past)||do / make||do / make (future)		
883	Chen-2013-888-884	不		1240.0	NOT	2.0				
884	Chen-2013-888-885	都		98.0	ALL	2.0			all / everything	一切
885	Chen-2013-888-886	也								
886	Chen-2013-888-887	很		1311.0	VERY	2.0				
887	Chen-2013-888-888	和		1577.0	AND	2.0				
888	Chen-2013-888-889	的								
889	Chen-2013-888-890	极		1311.0	VERY					
